;votes;metascore;Action;Drama;Sci-Fi;Advendture;Fantasy;Comedy;History;Horror;Mystery;Thriller;Crime;Animation;Family;Musical;Romance;Sport;Biography;Music;Western;imdb_encoding
0;603294;77;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;536979;74;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2;527314;85;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
3;527257;67;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4;519811;76;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
5;504922;94;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
6;474162;73;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
7;447628;84;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1
8;424133;69;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
9;417353;81;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
10;400585;86;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
11;386210;88;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
12;356056;45;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;340987;87;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
14;334367;75;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
15;324208;81;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
16;289796;58;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;254807;65;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1
18;253913;62;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;251172;44;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;244030;39;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;240209;65;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
22;215486;48;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1
23;214275;82;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
24;206976;94;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
25;193695;54;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
26;193656;52;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
27;192655;56;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
28;186800;52;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;185436;73;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
30;180393;93;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
31;179879;41;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;174951;75;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
33;174357;47;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
34;164360;34;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;163498;63;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
